level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1000	998	-1	
2	1	1	0	0	0	41	45	510	88	-1	
3	1	1	1	0	0	41	45	510	88	-1	
4	1	1	1	1	0	42	45	308	25	-1	
5	1	1	1	1	1	42	46	11	12	93.144821	*
5	1	1	1	1	2	73	45	137	25	96.178703	Esselunga
5	1	1	1	1	3	230	46	85	24	92.676704	S.p.A.
5	1	1	1	1	4	339	46	11	12	92.676704	*
4	1	1	1	2	0	41	79	510	25	-1	
5	1	1	1	2	1	41	80	45	19	96.677544	VIA
5	1	1	1	2	2	105	80	136	19	96.561859	ROMA
5	1	1	1	2	3	261	80	59	19	93.301933	00
5	1	1	1	2	4	341	91	7	2	93.055832	-
5	1	1	1	2	5	371	80	106	24	96.652260	CITTA
5	1	1	1	2	6	499	79	52	23	96.786316	x
4	1	1	1	3	0	42	114	263	19	-1	
5	1	1	1	3	1	42	114	70	19	91.691223	P.I.:
5	1	1	1	3	2	136	114	169	19	96.499962	04916380159
2	1	2	0	0	0	41	182	560	733	-1	
3	1	2	1	0	0	480	182	59	19	-1	
4	1	2	1	1	0	480	182	59	19	-1	
5	1	2	1	1	1	480	182	59	19	96.073349	EURO
3	1	2	2	0	0	41	216	498	260	-1	
4	1	2	2	1	0	41	216	498	22	-1	
5	1	2	2	1	1	41	216	45	19	92.700256	GSK
5	1	2	2	1	2	105	216	69	19	92.364868	DENT.
5	1	2	2	1	3	198	216	138	22	92.592751	AQUAFRESH
5	1	2	2	1	4	481	216	58	22	96.906479	1,19
4	1	2	2	2	0	41	250	498	22	-1	
5	1	2	2	2	1	41	250	45	19	92.700256	GSK
5	1	2	2	2	2	105	250	69	19	92.364868	DENT.
5	1	2	2	2	3	198	250	138	22	92.592751	AQUAFRESH
5	1	2	2	2	4	480	250	59	22	96.047302	0,99
4	1	2	2	3	0	41	284	498	22	-1	
5	1	2	2	3	1	41	284	45	19	92.700256	GSK
5	1	2	2	3	2	105	284	69	19	92.364868	DENT.
5	1	2	2	3	3	198	284	138	22	92.592751	AQUAFRESH
5	1	2	2	3	4	480	284	59	22	96.047302	0,99
4	1	2	2	4	0	41	318	498	22	-1	
