level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1124	2006	-1	
2	1	1	0	0	0	263	46	746	108	-1	
3	1	1	1	0	0	263	46	746	108	-1	
4	1	1	1	1	0	424	46	454	50	-1	
5	1	1	1	1	1	424	56	20	20	76.774788	*
5	1	1	1	1	2	468	46	206	42	96.690666	ESSELUNGA
5	1	1	1	1	3	696	51	130	45	93.022285	S.p.A.
5	1	1	1	1	4	857	63	21	21	67.116798	*
4	1	1	1	2	0	263	102	746	52	-1	
5	1	1	1	2	1	263	102	68	40	96.624092	VIA
5	1	1	1	2	2	354	104	203	42	97.005302	ROMA
5	1	1	1	2	3	581	109	92	39	93.216583	00
5	1	1	1	2	4	698	128	18	5	92.199753	-
5	1	1	1	2	5	740	111	162	41	96.978668	CITTA
5	1	1	1	2	6	929	114	80	40	96.109512	x
2	1	2	0	0	0	12	166	1100	1749	-1	
3	1	2	1	0	0	12	166	1100	1749	-1	
4	1	2	1	1	0	443	166	389	45	-1	
5	1	2	1	1	1	443	166	107	39	92.176300	P.I.:
5	1	2	1	1	2	580	168	252	43	92.656326	04916380159
4	1	2	1	2	0	941	294	92	38	-1	
5	1	2	1	2	1	941	294	92	38	96.528442	EURO
4	1	2	1	3	0	165	341	866	55	-1	
5	1	2	1	3	1	165	341	68	38	91.102173	GSK
5	1	2	1	3	2	257	341	105	40	91.102173	DENT.
5	1	2	1	3	3	393	344	206	41	91.120544	AQUAFRESH
5	1	2	1	3	4	944	354	87	42	96.893173	1,19
4	1	2	1	4	0	164	398	866	56	-1	
5	1	2	1	4	1	164	398	67	39	92.557991	GSK
5	1	2	1	4	2	255	400	106	39	88.968369	DENT.
5	1	2	1	4	3	392	402	205	41	91.155792	AQUAFRESH
5	1	2	1	4	4	939	412	91	42	96.544815	0,99
4	1	2	1	5	0	163	458	865	57	-1	
5	1	2	1	5	1	163	458	67	39	91.721436	GSK
5	1	2	1	5	2	254	460	106	40	87.592461	DENT.
5	1	2	1	5	3	391	461	205	44	92.380127	AQUAFRESH
5	1	2	1	5	4	938	470	90	45	96.281128	0,99
4	1	2	1	6	0	162	518	866	57	-1	
5	1	2	1	6	1	162	518	67	39	92.457138	GSK
5	1	2	1	6	2	253	519	106	40	89.029785	DENT.
5	1	2	1	6	3	389	522	206	45	91.224213	AQUAFRESH
5	1	2	1	6	4	936	530	92	45	96.764221	0,99
4	1	2	1	7	0	160	577	866	57	-1	
5	1	2	1	7	1	160	577	67	39	92.423569	GSK
5	1	2	1	7	2	252	579	105	39	80.665634	DENT.
