level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1000	998	-1	
2	1	1	0	0	0	40	45	512	89	-1	
3	1	1	1	0	0	40	45	512	89	-1	
4	1	1	1	1	0	42	45	308	25	-1	
5	1	1	1	1	1	42	46	12	12	93.290146	*
5	1	1	1	1	2	73	45	138	25	96.197266	Esselunga
5	1	1	1	1	3	229	45	87	25	93.211655	S.p.A.
5	1	1	1	1	4	339	46	11	12	90.557838	*
4	1	1	1	2	0	40	76	512	28	-1	
5	1	1	1	2	1	40	80	46	20	96.754585	VIA
5	1	1	1	2	2	104	80	137	20	95.793015	ROMA
5	1	1	1	2	3	261	79	59	21	92.776260	00
5	1	1	1	2	4	341	91	7	2	92.776260	-
5	1	1	1	2	5	371	76	106	28	96.572891	CITTA
5	1	1	1	2	6	498	78	54	24	95.862465	x
4	1	1	1	3	0	42	111	263	23	-1	
5	1	1	1	3	1	42	114	71	19	92.611237	P.I.:
5	1	1	1	3	2	135	111	170	23	96.732040	04916380159
2	1	2	0	0	0	40	181	562	735	-1	
3	1	2	1	0	0	104	181	435	21	-1	
4	1	2	1	1	0	104	181	435	21	-1	
5	1	2	1	1	1	104	192	2	2	42.212509	a
5	1	2	1	1	2	480	181	59	21	96.553764	EURO
3	1	2	2	0	0	41	215	499	261	-1	
4	1	2	2	1	0	41	215	498	29	-1	
5	1	2	2	1	1	41	216	45	20	88.145844	GSK
5	1	2	2	1	2	103	216	72	28	92.441521	DENT.
5	1	2	2	1	3	198	215	138	23	92.604240	AQUAFRESH
5	1	2	2	1	4	481	216	58	22	26.544525	1;;19
4	1	2	2	2	0	41	249	499	23	-1	
5	1	2	2	2	1	41	250	45	19	91.750366	GSK
5	1	2	2	2	2	104	249	71	21	91.140015	DENT.
5	1	2	2	2	3	198	249	139	23	92.045044	AQUAFRESH
5	1	2	2	2	4	479	250	61	22	96.331894	0,99
4	1	2	2	3	0	41	283	498	23	-1	
5	1	2	2	3	1	41	283	45	20	91.027496	GSK
5	1	2	2	3	2	104	283	71	20	91.027496	DENT.
5	1	2	2	3	3	198	283	139	23	92.372231	AQUAFRESH
5	1	2	2	3	4	479	283	60	23	96.716652	0,99
4	1	2	2	4	0	41	317	499	23	-1	
5	1	2	2	4	1	41	317	45	21	91.675880	GSK
5	1	2	2	4	2	104	318	71	19	91.675880	DENT.
5	1	2	2	4	3	198	317	139	23	92.988754	AQUAFRESH
5	1	2	2	4	4	447	324	2	2	0.000000	2...
5	1	2	2	4	5	479	318	61	22	0.000000	0,99
4	1	2	2	5	0	41	346	498	28	-1	
5	1	2	2	5	1	41	352	45	20	87.163345	GSK
5	1	2	2	5	2	104	346	71	25	92.306892	DENT.
5	1	2	2	5	3	198	351	139	23	92.306892	AQUAFRESH
5	1	2	2	5	4	479	352	60	22	95.714455	0,99
4	1	2	2	6	0	41	385	498	29	-1	
5	1	2	2	6	1	41	385	170	29	92.575790	SCHIACCIATE
5	1	2	2	6	2	229	385	149	23	38.810295	OLIV&MARI
5	1	2	2	6	3	481	386	58	22	95.701469	1,29
4	1	2	2	7	0	41	419	498	23	-1	
5	1	2	2	7	1	41	420	123	20	75.738983	CRACKERS
5	1	2	2	7	2	182	419	185	21	75.738983	OLIVIA&MARIN
5	1	2	2	7	3	481	420	58	22	62.623154	1:79
4	1	2	2	8	0	41	453	498	23	-1	
5	1	2	2	8	1	41	453	76	20	92.541588	GRISS
5	1	2	2	8	2	136	454	122	19	92.288666	POMODORO
5	1	2	2	8	3	276	454	93	20	90.605446	OL&MAR
5	1	2	2	8	4	481	454	58	22	96.923615	1,49
3	1	2	3	0	0	40	485	562	431	-1	
4	1	2	3	1	0	85	485	454	25	-1	
5	1	2	3	1	1	85	485	91	22	20.578812	8x.
5	1	2	3	1	2	479	488	60	22	7.910553	2:99
