level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	956	1656	-1	
2	1	1	0	0	0	224	56	603	81	-1	
3	1	1	1	0	0	224	56	603	81	-1	
4	1	1	1	1	0	353	56	367	37	-1	
5	1	1	1	1	1	353	66	16	16	62.969704	x
5	1	1	1	1	2	389	56	166	32	96.599831	ESSELUNGA
5	1	1	1	1	3	574	58	104	35	91.755783	S.p.A.
5	1	1	1	1	4	703	65	17	17	91.233673	*
4	1	1	1	2	0	224	105	603	32	-1	
5	1	1	1	2	1	224	105	56	31	96.986275	VIA
5	1	1	1	2	2	298	105	164	31	96.755272	ROMA
5	1	1	1	2	3	482	105	73	31	92.865265	00
5	1	1	1	2	4	576	120	14	4	90.707596	-
5	1	1	1	2	5	610	106	130	31	96.774536	CITTA
5	1	1	1	2	6	762	105	65	32	96.142548	x
2	1	2	0	0	0	71	153	861	1405	-1	
3	1	2	1	0	0	71	153	861	1405	-1	
4	1	2	1	1	0	370	153	314	32	-1	
5	1	2	1	1	1	370	153	87	32	92.712326	P.I.:
5	1	2	1	1	2	481	153	203	32	91.219902	04916380159
4	1	2	1	2	0	774	250	74	31	-1	
5	1	2	1	2	1	774	250	74	31	96.475197	EURO
4	1	2	1	3	0	149	298	699	34	-1	
5	1	2	1	3	1	149	298	54	31	80.531204	GSK
5	1	2	1	3	2	223	298	85	30	80.531204	DENT.
5	1	2	1	3	3	333	298	166	31	87.368065	AQUAFRESH
5	1	2	1	3	4	777	298	71	34	96.889893	1,19
4	1	2	1	4	0	149	345	699	34	-1	
5	1	2	1	4	1	149	345	53	31	88.861237	GSK
5	1	2	1	4	2	223	346	85	30	88.861237	DENT.
5	1	2	1	4	3	333	345	165	31	90.899017	AQUAFRESH
5	1	2	1	4	4	774	345	74	34	96.993141	0,99
4	1	2	1	5	0	148	392	699	36	-1	
5	1	2	1	5	1	148	393	54	31	91.942841	GSK
5	1	2	1	5	2	222	393	86	31	91.197395	DENT.
5	1	2	1	5	3	333	393	165	32	92.739670	AQUAFRESH
5	1	2	1	5	4	774	392	73	36	96.583733	0,99
4	1	2	1	6	0	148	441	699	36	-1	
5	1	2	1	6	1	148	442	54	31	81.298714	GSK
5	1	2	1	6	2	222	442	85	31	89.992615	DENT.
5	1	2	1	6	3	333	442	165	31	92.053467	AQUAFRESH
5	1	2	1	6	4	774	441	73	36	96.964050	0,99
4	1	2	1	7	0	148	489	699	35	-1	
5	1	2	1	7	1	148	490	54	31	90.794868	GSK
5	1	2	1	7	2	222	490	85	30	90.794868	DENT.
5	1	2	1	7	3	332	489	166	31	92.610474	AQUAFRESH
5	1	2	1	7	4	774	489	73	35	96.940956	0,99
4	1	2	1	8	0	148	538	699	34	-1	
5	1	2	1	8	1	148	538	201	32	92.114456	SCHIACCIATE
5	1	2	1	8	2	369	538	163	32	78.838867	OLIV&MARI
5	1	2	1	8	3	776	538	71	34	95.525146	1,29
4	1	2	1	9	0	148	586	698	36	-1	
5	1	2	1	9	1	148	586	146	32	88.680046	CRACKERS
5	1	2	1	9	2	314	586	220	32	88.680046	OLIVIA&MARIN
5	1	2	1	9	3	776	586	70	36	96.827965	1,79
4	1	2	1	10	0	148	634	699	35	-1	
5	1	2	1	10	1	148	634	91	32	91.507301	GRISS
5	1	2	1	10	2	258	634	146	32	92.815437	POMODORO
5	1	2	1	10	3	424	634	110	32	91.094444	OL&MAR
5	1	2	1	10	4	776	634	71	35	96.221176	1,49
4	1	2	1	11	0	240	682	256	34	-1	
5	1	2	1	11	1	240	682	17	30	87.135704	8
5	1	2	1	11	2	296	691	16	20	87.135704	x
5	1	2	1	11	3	424	682	72	34	96.600487	2,99
4	1	2	1	12	0	147	729	699	35	-1	
5	1	2	1	12	1	147	729	122	32	76.183914	BONDUE.
5	1	2	1	12	2	295	729	127	32	96.084770	COCCOLE
5	1	2	1	12	3	442	730	92	30	96.387253	SPINA
5	1	2	1	12	4	755	730	91	34	96.535591	23,92
4	1	2	1	13	0	239	777	644	35	-1	
5	1	2	1	13	1	239	778	110	31	93.272186	SCONTO
5	1	2	1	13	2	368	778	108	31	92.825737	FIDATY
5	1	2	1	13	3	497	778	54	31	96.616234	30%
5	1	2	1	13	4	773	777	110	35	59.318890	7,20-$
4	1	2	1	14	0	366	876	318	31	-1	
5	1	2	1	14	1	366	876	318	31	45.722996	SCONTOMAGGIO.COM
4	1	2	1	15	0	110	914	790	70	-1	
5	1	2	1	15	1	110	914	111	60	94.946823	TOTALE
5	1	2	1	15	2	239	915	75	60	61.364349	EURO
5	1	2	1	15	3	773	914	92	70	31.981346	DM
5	1	2	1	15	4	883	930	17	32	77.079239	x
4	1	2	1	16	0	109	996	753	34	-1	
5	1	2	1	16	1	109	996	165	31	96.390579	PAGAMENTO
5	1	2	1	16	2	295	996	108	32	96.918106	SCONTO
5	1	2	1	16	3	422	996	74	32	96.809288	EURO
5	1	2	1	16	4	790	996	72	34	96.656319	0,04
4	1	2	1	17	0	109	1044	754	36	-1	
5	1	2	1	17	1	109	1044	165	32	96.753319	PAGAMENTO
5	1	2	1	17	2	294	1044	88	32	96.634171	BUONI
5	1	2	1	17	3	404	1044	110	32	96.252960	SCONTO
5	1	2	1	17	4	790	1044	73	36	96.764389	9,50
4	1	2	1	18	0	109	1093	754	34	-1	
5	1	2	1	18	1	109	1093	165	30	95.707031	PAGAMENTO
5	1	2	1	18	2	293	1093	145	30	96.480415	BANCOMAT
5	1	2	1	18	3	774	1093	89	34	94.993752	16,90
4	1	2	1	19	0	104	1185	794	49	-1	
5	1	2	1	19	1	104	1185	96	49	96.790039	RESTO
5	1	2	1	19	2	789	1187	74	32	92.437531	0,00
5	1	2	1	19	3	882	1197	16	15	80.458252	*
4	1	2	1	20	0	72	1283	845	34	-1	
5	1	2	1	20	1	72	1285	30	32	96.561974	N.
5	1	2	1	20	2	127	1284	91	32	93.297539	CARTA
5	1	2	1	20	3	238	1284	121	33	92.508415	FIDATY:
5	1	2	1	20	4	679	1283	238	32	0.000000	00XX*XX***00
4	1	2	1	21	0	74	1380	858	33	-1	
5	1	2	1	21	1	74	1395	234	5	24.714371	ne
5	1	2	1	21	2	330	1380	90	31	96.849648	NUOVA
5	1	2	1	21	3	440	1380	146	32	96.688385	RACCOLTA
5	1	2	1	21	4	605	1380	90	33	92.891830	PUNTI
5	1	2	1	21	5	718	1395	214	5	87.410912	------------
4	1	2	1	22	0	72	1427	845	33	-1	
5	1	2	1	22	1	72	1428	90	32	96.818428	SALDO
5	1	2	1	22	2	182	1428	36	32	96.919533	PUNTI
5	1	2	1	22	3	237	1428	71	32	96.616905	0.000
5	1	2	1	22	4	329	1428	89	32	96.190216	x
5	1	2	1	22	5	825	1427	92	33	93.854279	x
4	1	2	1	23	0	71	1476	845	33	-1	
5	1	2	1	23	1	71	1477	89	32	62.316154	PINTI
5	1	2	1	23	2	182	1477	91	31	96.434448	SULLA
5	1	2	1	23	3	293	1476	90	33	96.913086	SPESA
5	1	2	1	23	4	881	1476	35	31	93.285614	42
4	1	2	1	24	0	72	1525	845	33	-1	
5	1	2	1	24	1	72	1526	162	31	89.460724	PUNTI
5	1	2	1	24	2	255	1526	107	32	93.140266	SPESA
5	1	2	1	24	3	880	1525	37	32	72.624840	0
2	1	3	0	0	0	71	1572	845	33	-1	
3	1	3	1	0	0	71	1572	845	33	-1	
4	1	3	1	1	0	71	1572	845	33	-1	
5	1	3	1	1	1	71	1574	91	31	96.780106	SALDO
5	1	3	1	1	2	182	1574	91	30	96.963783	PUNTI
5	1	3	1	1	3	292	1573	88	32	96.980026	0.000
5	1	3	1	1	4	825	1572	91	32	95.253593	x
